# L9 File Metrics
# =================
# Format: path/to/file.py | Lines: N | Classes: N | Functions: N
# Use for: Finding large files, complexity hotspots

| File | Lines | Classes | Functions | Async |
|------|-------|---------|-----------|-------|
| `core/tools/registry_adapter.py` | 3705 | 3 | 13 | 6 |
| `api/server.py` | 3635 | 7 | 2 | 15 |
| `runtime/l_tools.py` | 3035 | 0 | 9 | 73 |
| `current_work/DONE/Slack-Debug-2/server.py` | 2584 | 9 | 5 | 15 |
| `memory/substrate_repository.py` | 2474 | 1 | 4 | 49 |
| `core/agents/executor.py` | 2455 | 5 | 9 | 20 |
| `scripts/audit/find_dead_code.py` | 2278 | 4 | 32 | 0 |
| `scripts/audit/inject_dora_complete.py` | 2262 | 5 | 45 | 0 |
| `tools/export_repo_indexes.py` | 2229 | 0 | 38 | 0 |
| `world_model/runtime.py` | 2100 | 9 | 32 | 17 |
| `core/tools/tool_graph.py` | 2075 | 2 | 2 | 13 |
| `world_model/knowledge_ingestor.py` | 1857 | 7 | 43 | 1 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/tools/generate_module_code.py` | 1844 | 3 | 20 | 0 |
| `memory/slack_ingest.py` | 1816 | 0 | 6 | 11 |
| `agents/cursor/cursor_memory_client.py` | 1739 | 0 | 32 | 0 |
| `world_model/causal_mapper.py` | 1600 | 11 | 46 | 0 |
| `runtime/kernel_loader.py` | 1494 | 2 | 30 | 2 |
| `mcp_memory/src/routes/memory_unified.py` | 1493 | 0 | 4 | 15 |
| `memory/retrieval.py` | 1449 | 1 | 8 | 13 |
| `core/tools/base_registry.py` | 1429 | 7 | 21 | 9 |
| `memory/substrate_service.py` | 1411 | 1 | 7 | 24 |
| `orchestration/unified_controller.py` | 1406 | 6 | 18 | 17 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/tools/compile_module_spec.py` | 1372 | 6 | 42 | 0 |
| `igor/DONE!/audit-tools/tools_export_repo_indexes.py` | 1361 | 0 | 21 | 0 |
| `world_model/reflection_memory.py` | 1354 | 7 | 38 | 0 |
| `orchestration/plan_executor.py` | 1332 | 6 | 16 | 21 |
| `memory/substrate_dag.py` | 1287 | 2 | 8 | 10 |
| `current_work/DONE/GMP Stage 2 - Tools & Memory/executor.py` | 1259 | 5 | 5 | 16 |
| `agents/research_agent_impl.py` | 1222 | 11 | 15 | 14 |
| `tests/core/bootstrap/test_executor.py` | 1219 | 4 | 25 | 24 |
| `current_work/DONE/GMP Stage 2 - Tools & Memory/test_executor.py` | 1176 | 4 | 25 | 23 |
| `scripts/audit/run_all.py` | 1170 | 4 | 20 | 1 |
| `orchestration/task_router.py` | 1143 | 8 | 28 | 0 |
| `core/singleton_registry.py` | 1137 | 3 | 22 | 3 |
| `api/memory/router.py` | 1128 | 15 | 2 | 23 |
| `mac_agent/websocket_client.py` | 1117 | 4 | 13 | 17 |
| `core/kernels/kernelloader.py` | 1107 | 2 | 15 | 0 |
| `mcp_memory/src/mcp_server.py` | 1102 | 2 | 1 | 1 |
| `scripts/audit/tier1/audit_code_integrity.py` | 1099 | 9 | 31 | 1 |
| `orchestration/orchestrator_kernel.py` | 1086 | 8 | 17 | 11 |
| `memory/ingestion.py` | 1056 | 1 | 10 | 13 |
| `current_work/DONE/GMP Stage 1 - Tools/server.py` | 1039 | 5 | 4 | 10 |
| `ir_engine/ir_to_python.py` | 1038 | 1 | 9 | 0 |
| `mcp_memory/src/routes/memory.py` | 1028 | 0 | 1 | 14 |
| `orchestration/cell_orchestrator.py` | 1023 | 6 | 21 | 7 |
| `world_model/world_model_service.py` | 1017 | 5 | 15 | 1 |
| `igor/DONE!/audit-tools/Current Config/runtime_kernel_loader.py` | 1016 | 2 | 24 | 1 |
| `orchestration/long_plan_graph.py` | 980 | 1 | 2 | 9 |
| `memory/graph_client.py` | 975 | 1 | 4 | 21 |
| `ir_engine/meta_ir.py` | 972 | 56 | 9 | 0 |
| `memory/retrieval_strategy.py` | 956 | 5 | 12 | 8 |
| `world_model/repository.py` | 955 | 4 | 10 | 16 |
| `igor/DONE!/audit-memory/mcp_memory_src_routes_memory.py` | 931 | 0 | 0 | 14 |
| `agents/cursor/gmp_meta_learning.py` | 930 | 9 | 4 | 11 |
| `scripts/audit/inject_dora_multiformat_complete.py` | 930 | 4 | 23 | 0 |
| `igor/DONE!/audit-tools/core_tools_registry_adapter.py` | 927 | 3 | 11 | 3 |
| `agents/cursor/GMP-v2.0-Perplex-Py-Scripts/script_3.py` | 921 | 0 | 0 | 0 |
| `memory/graph_memory.py` | 917 | 7 | 7 | 12 |
| `igor/DONE!/audit-tools/core_tools_tool_graph.py` | 900 | 2 | 1 | 12 |
| `world_model/engine.py` | 883 | 1 | 22 | 5 |
| `igor/DONE!/audit-memory/memory_substrate_graph.py` | 878 | 2 | 3 | 11 |
| `memory/hybrid_rag.py` | 876 | 8 | 5 | 10 |
| `current_work/DONE/GMP Stage 2 - Tools & Memory/tool_graph.py` | 875 | 2 | 1 | 12 |
| `world_model/seed_loader.py` | 869 | 1 | 7 | 6 |
| `scripts/generate_readme_superprompt.py` | 868 | 6 | 11 | 0 |
| `tests/memory/test_e2e_memory_audit.py` | 867 | 1 | 5 | 16 |
| `core/governance/credentials_policy.py` | 864 | 7 | 29 | 0 |
| `email_agent/router.py` | 861 | 6 | 2 | 7 |
| `codegen/Perplexity-Search-Pack/autonomous-research-agent.py` | 840 | 8 | 12 | 2 |
| `tests/memory/test_ingestion_pipeline_audit.py` | 838 | 10 | 41 | 11 |
| `current_work/DONE/GMP Stage 1 - Tools/tool_graph.py` | 832 | 2 | 1 | 11 |
| `api/e2e_slack_audit.py` | 825 | 1 | 5 | 9 |
| `igor/DONE!/audit-memory/memory_substrate_repository.py` | 824 | 1 | 3 | 22 |
| `agents/cursor/cursor_memory_kernel.py` | 823 | 4 | 33 | 0 |
| `world_model/updater.py` | 821 | 3 | 15 | 0 |
| `memory/saga_patterns.py` | 820 | 1 | 4 | 12 |
| `memory/neo4j_strategy_memory.py` | 819 | 2 | 6 | 9 |
| `tests/unit/test_guarded_execution.py` | 819 | 12 | 9 | 24 |
| `current_work/Neural-Symbolic Collective Intelligence/script.py` | 809 | 0 | 0 | 0 |
| `current_work/DONE/BOOTSTRAP_IMPLEMENTATION_GUIDE/Phase 1-7 implementation files.py` | 809 | 0 | 0 | 0 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/tools/apply_policy_rules.py` | 808 | 3 | 19 | 0 |
| `memory/saga.py` | 798 | 10 | 14 | 4 |
| `agents/l_cto.py` | 798 | 1 | 16 | 2 |
| `scripts/validate_gmp_report.py` | 798 | 3 | 16 | 0 |
| `agents/codegenagent/readme_generator.py` | 794 | 5 | 11 | 0 |
| `core/governance/session_startup.py` | 789 | 6 | 10 | 0 |
| `igor/DONE!/audit-memory/memory_slack_ingest.py` | 789 | 0 | 1 | 5 |
| `igor/DONE!/audit-tools/services_research_tools_tool_registry.py` | 781 | 7 | 21 | 4 |
| `current_work/DONE/GMP Stage 2 - Tools & Memory/tool_registry.py` | 780 | 7 | 21 | 4 |
| `core/agents/agent_instance.py` | 779 | 1 | 30 | 0 |
| `core/governance/policy_generator.py` | 776 | 4 | 15 | 0 |
| `codegen/Perplexity-Search-Pack/SUPER_PROMPT_TEMPLATE.py` | 775 | 0 | 0 | 0 |
| `memory/schema_introspection.py` | 771 | 9 | 3 | 15 |
| `scripts/audit/tier1/audit_infrastructure_health.py` | 754 | 10 | 7 | 6 |
| `memory/active_encoder.py` | 747 | 5 | 10 | 8 |
| `runtime/mcp_client.py` | 747 | 3 | 10 | 9 |
| `tests/api/test_e2e_slack_audit.py` | 741 | 1 | 5 | 9 |
| `codegen/code-gen-files/schema_parser.py` | 740 | 21 | 7 | 0 |
| `agents/cursor/extractors/cursor_action_extractor.py` | 738 | 1 | 11 | 0 |
| `agents/codegenagent/codegen_agent.py` | 737 | 5 | 10 | 7 |
| `world_model/causal_graph.py` | 731 | 3 | 18 | 0 |
| `world_model/service.py` | 729 | 1 | 2 | 13 |
| `codegen/code-gen-files/extractor.py` | 726 | 4 | 16 | 5 |
| `current_work/DONE/GMP Stage 2 - Tools & Memory/long_plan_graph.py` | 726 | 1 | 1 | 8 |
| `scripts/refactoring/bootstrap_refactor.py` | 725 | 3 | 16 | 0 |
| `igor/DONE!/audit-memory/memory_retrieval.py` | 725 | 1 | 6 | 8 |
| `current_work/01-20-2026/Refactoring Suite/bootstrap_refactor.py` | 725 | 3 | 16 | 0 |
| `current_work/DONE/GMP-Evolution-Super-Prompt/gmp_meta_learning_engine.py` | 719 | 9 | 4 | 9 |
| `igor/DONE!/audit-memory/memory_extractor_cursor_action_extractor.py` | 716 | 1 | 11 | 0 |
| `memory/tool_router.py` | 715 | 4 | 8 | 12 |
| `memory/substrate_semantic.py` | 714 | 4 | 9 | 19 |
| `email_agent/gmail_client.py` | 714 | 1 | 10 | 0 |
| `scripts/generate_gmp_report.py` | 712 | 6 | 13 | 0 |
| `simulation/simulation_engine.py` | 709 | 6 | 16 | 6 |
| `mac_agent/executor.py` | 709 | 1 | 2 | 7 |
| `scripts/memory/load_indexes_to_neo4j_vps.py` | 706 | 1 | 2 | 12 |
| `core/worldmodel/service.py` | 705 | 1 | 2 | 16 |
| `clients/memory_client.py` | 701 | 6 | 3 | 16 |
| `local_dashboard/app.py` | 697 | 0 | 0 | 3 |
| `scripts/audit/tier1/audit_capability_inventory.py` | 697 | 7 | 7 | 0 |
| `current_work/Compiler + Dev Layer/Knowledge Harvester + Compiler - Complete System/knowledge_harvester_system/l9_knowledge_harvester.py` | 693 | 6 | 25 | 0 |
| `current_work/01-20-2026/Knowledge Harvester + Compiler - Complete System/knowledge_harvester_system/l9_knowledge_harvester.py` | 693 | 6 | 25 | 0 |
| `runtime/superprompt_emitter.py` | 692 | 7 | 17 | 2 |
| `igor/DONE!/audit-memory/memory_substrate_service.py` | 692 | 1 | 1 | 18 |
| `memory/agent_persistence.py` | 683 | 2 | 7 | 6 |
| `scripts/audit/resolve_dead_code_refs.py` | 683 | 3 | 23 | 0 |
| `orchestrators/pattern/cell_adapter.py` | 678 | 2 | 9 | 3 |
| `memory/cypher_templates.py` | 677 | 3 | 7 | 2 |
| `memory/consolidation.py` | 677 | 2 | 5 | 5 |
| `scripts/memory/bootstrap_neo4j_schema.py` | 670 | 0 | 0 | 8 |
| `orchestration/ws_task_router.py` | 669 | 4 | 13 | 4 |
| `services/research/graph_persistence.py` | 665 | 4 | 5 | 6 |
| `core/governance/rate_limit_policy.py` | 664 | 7 | 12 | 9 |
