# ================================================================
# Decorator Catalog
# ================================================================
# Repo:      L9
# Generated: 2026-02-11 20:18 UTC
# Branch:    main (f0aa4f7f)
# Generator: export_repo_indexes.py v2.2.0
# ================================================================

# L9 Decorator Catalog
# ======================
# Format: @decorator_name | count | example_file
# Use for: Understanding patterns, finding all routes/tools/traces

| Decorator | Count | Example Files |
|-----------|-------|---------------|
| `@abstractmethod` | 42 | agents/base_agent.py, agents/cursor/extractors/base_extractor.py, collaborative_cells/base_cell.py |
| `@async_retry(...)` | 1 | core/codegen/gatekeeper/codegen_gatekeeper_v2.py |
| `@asynccontextmanager` | 21 | api/server.py, config/di_async_config.py, core/governance/rate_limit_policy.py |
| `@asyncio` | 1199 | codegen/Symbolic CodeGen/Supplemental Files/test_symbolic_computation.py, core/schemas/tests/test_research_factory.py, domain_tensor_bridge/tests/domain_tensor_bridge/test_api_surfaces.py |
| `@benchmark(...)` | 9 | tests/performance/test_memory_benchmarks.py |
| `@classmethod` | 59 | codegen/code-gen-files/glue_resolver.py, codegen/code-gen-files/schema_parser.py, core/agents/executor_composer.py |
| `@command(...)` | 6 | core/codegen/cli.py, tools/l9_cli.py |
| `@contextmanager` | 9 | core/agents/bootstrap/bootstrap_metrics.py, core/security/path_safety.py, memory/checkpoint_metrics.py |
| `@dataclass` | 521 | .backup/mcp-tools-20260131/semantic_tool_search.py, adapters/tensorglobe_bridge/anomaly_guard.py, agents/base_agent.py |
| `@dataclass(...)` | 20 | api/auth.py, core/codegen/spec/spec_normalizer_v2.py, core/moduleregistry.py |
| `@delete(...)` | 3 | api/memory/cache.py, api/memory/graph.py, api/routes/reflection_agent.py |
| `@dict(...)` | 16 | tests/api/test_agent_auth.py, tests/api/test_websocket_auth.py, tests/unit/test_di_runtime_config.py |
| `@exception_handler(...)` | 5 | api/server.py, mcp_memory/src/main.py |
| `@field_validator(...)` | 10 | codegen/code-gen-files/schema_parser.py, core/calibration/schemas.py, core/kernels/schemas.py |
| `@fixture` | 337 | codegen/Symbolic CodeGen/Supplemental Files/test_symbolic_computation.py, domain_tensor_bridge/tests/domain_tensor_bridge/test_api_surfaces.py, domain_tensor_bridge/tests/domain_tensor_bridge/test_bridge_controller.py |
| `@fixture(...)` | 15 | tests/collaborative_cells/test_cell_registry.py, tests/conftest.py, tests/core/governance/test_policy_registry.py |
| `@get(...)` | 113 | api/agent_routes.py, api/memory/cache.py, api/memory/graph.py |
| `@group(...)` | 2 | core/codegen/cli.py, tools/l9_cli.py |
| `@integration` | 8 | tests/cursor/test_gmp_meta_learning.py, tests/memory/test_query_cache_and_vector.py, tests/runtime/test_slack_tools.py |
| `@l9_traced(...)` | 8 | codegen/templates/python/dora-template.py, tests/runtime/test_dora_auto_update.py |
| `@logged` | 3 | tests/unit/test_instrumentation_decorators.py |
| `@logged(...)` | 4 | tests/unit/test_instrumentation_decorators.py |
| `@lru(...)` | 4 | memory/substrate_repository_cached.py, tests/memory/test_query_cache_and_vector.py |
| `@lru_cache(...)` | 26 | .backup/mcp-tools-20260131/mcp_client.py, api/routes/upgrades.py, codegen/Symbolic CodeGen/Supplemental Files/symbolic_computation_core.py |
| `@model_validator(...)` | 4 | core/models/l9_base_model.py, core/observability/config.py, ir_engine/meta_ir.py |
| `@must_stay_async(...)` | 347 | agents/base_agent.py, agents/cursor/integrations/cursor_gateway.py, agents/cursor/integrations/cursor_langgraph.py |
| `@on_event(...)` | 3 | api/server.py, api/server_memory.py |
| `@option(...)` | 10 | core/codegen/cli.py, tools/l9_cli.py |
| `@parametrize(...)` | 9 | tests/core/security/test_path_safety.py, tests/docker/test_env_validation.py, tests/email_agent/test_email_router.py |
| `@patch(...)` | 16 | tests/core/kernel_wiring/test_master_wiring.py, tests/test_research_graph.py, tests/unit/test_executor_composer.py |
| `@post(...)` | 98 | api/agent_routes.py, api/memory/cache.py, api/memory/graph.py |
| `@property` | 159 | .backup/mcp-tools-20260131/mcp_client.py, SDK/SDK.py, agents/base_agent.py |
| `@rate_limit(...)` | 4 | agents/base_agent.py, core/codegen/gatekeeper/codegen_gatekeeper_v2.py, memory/ingestion.py |
| `@recurrence_memo(...)` | 2 | codegen/Symbolic CodeGen/Supplemental Files/symbolic_computation_utils.py, services/symbolic_computation/utils.py |
| `@register(...)` | 4 | core/schemas/schema_registry.py |
| `@register_agent(...)` | 16 | tests/agents/test_agent_registry.py |
| `@register_singleton(...)` | 26 | .backup/mcp-tools-20260131/mcp_client.py, agents/cursor/cursor_memory_kernel.py, core/coordination/agent_mediator.py |
| `@register_singleton_closer(...)` | 6 | core/coordination/agent_mediator.py, memory/graph_client.py, memory/substrate_repository.py |
| `@register_tool(...)` | 56 | core/tools/base_registry.py, core/tools/reflection_tools.py, core/tools/research_tools.py |
| `@retry(...)` | 2 | codegen/Perplexity-Search-Pack/autonomous-research-agent.py, codegen/scripts/generate_spec.py |
| `@runtime_checkable` | 38 | core/protocols/agent_protocols.py, core/protocols/error_handling_protocols.py, core/protocols/kernel_protocols.py |
| `@setter` | 3 | core/l_agent_runtime/agent_state.py |
| `@skip(...)` | 13 | tests/core/agents/test_agent_executor_bootstrap_bridge.py, tests/cursor/test_gmp_meta_learning.py, tests/integration/test_graph_state_integration.py |
| `@skipif(...)` | 11 | tests/memory/test_checkpoint_metrics_pool.py, tests/memory/test_governance_invariants.py, tests/performance/test_memory_benchmarks.py |
