# ================================================================
# File Metrics
# ================================================================
# Repo:      L9
# Generated: 2026-02-13 21:22 UTC
# Branch:    main (58f7d020)
# Generator: export_repo_indexes.py v3.0.0
# ================================================================

# L9 File Metrics
# =================
# Format: path/to/file.py | Lines: N | Classes: N | Functions: N
# Use for: Finding large files, complexity hotspots

| File | Lines | Classes | Functions | Async |
|------|-------|---------|-----------|-------|
| `api/server.py` | 3918 | 7 | 3 | 18 |
| `runtime/l_tools.py` | 2962 | 0 | 0 | 71 |
| `core/agents/executor.py` | 2940 | 5 | 15 | 20 |
| `tools/export_repo_indexes.py` | 2932 | 0 | 45 | 0 |
| `memory/substrate_repository.py` | 2659 | 1 | 4 | 51 |
| `ci/auto_fix_adr.py` | 2220 | 0 | 32 | 0 |
| `memory/slack_ingest.py` | 2168 | 0 | 6 | 15 |
| `core/tools/tool_graph.py` | 2154 | 2 | 2 | 13 |
| `world_model/runtime.py` | 2153 | 9 | 32 | 17 |
| `world_model/knowledge_ingestor.py` | 1861 | 7 | 43 | 1 |
| `agents/cursor/cursor_memory_client.py` | 1791 | 0 | 32 | 0 |
| `memory/retrieval.py` | 1675 | 1 | 8 | 15 |
| `world_model/causal_mapper.py` | 1662 | 11 | 46 | 0 |
| `mcp_memory/src/routes/memory_unified.py` | 1626 | 0 | 4 | 15 |
| `tools/adr/adr_enforcer.py` | 1591 | 3 | 37 | 0 |
| `memory/substrate_service.py` | 1578 | 1 | 8 | 27 |
| `runtime/kernel_loader.py` | 1564 | 2 | 31 | 2 |
| `memory/substrate_dag.py` | 1501 | 2 | 8 | 11 |
| `core/tools/registry_adapter.py` | 1499 | 3 | 12 | 6 |
| `tools/codegen/docstring_injector.py` | 1490 | 5 | 26 | 0 |
| `mcp_memory/src/mcp_server.py` | 1439 | 2 | 1 | 1 |
| `orchestration/unified_controller.py` | 1410 | 6 | 18 | 17 |
| `tests/core/bootstrap/test_executor.py` | 1375 | 5 | 26 | 29 |
| `world_model/reflection_memory.py` | 1358 | 7 | 38 | 0 |
| `orchestration/plan_executor.py` | 1347 | 6 | 16 | 21 |
| `core/reasoning/toth_engine.py` | 1291 | 12 | 27 | 16 |
| `core/tools/base_registry.py` | 1290 | 7 | 21 | 7 |
